sample_count,estimate,variance,std_error,ucb,relative_precision
500,2.097589220474504e-08,4.2646311317062467e-16,2.0650983346335465e-08,5.494373706207938e-08,1.6193754490047552
1000,6.510905956299726e-05,2.2942083188904435e-09,4.7897894722946264e-05,0.0001438940854213752,1.2100470562341372
1500,4.3940497095445775e-05,1.0200551600507813e-09,3.19383023977603e-05,9.64743296330747e-05,1.1955675518080067
2000,3.646528834163741e-05,5.803337943777367e-10,2.409011818936837e-05,7.60900066191096e-05,1.0866421213027193
2500,7.742055450867643e-05,1.1819972668555485e-09,3.438018712653479e-05,0.0001339709299990275,0.7304310315164886
3000,7.106149663038313e-05,8.429589077429915e-10,2.9033754627036984e-05,0.000118817773232684,0.6720415255352523
3500,8.926379800415495e-05,1.36228655495007e-09,3.690916627275764e-05,0.00014997397401565532,0.6801209154093408
4000,8.342838128051466e-05,1.0578828908441768e-09,3.2525111696106084e-05,0.00013692742922085651,0.6412571731490246
4500,7.469847310537064e-05,8.361039310941453e-10,2.8915461799773236e-05,0.0001222601753217044,0.6367158556138436
5000,0.00016293173759662527,9.832377188626426e-09,9.91583440191819e-05,0.00032603269939907845,1.0010386202732757
5500,0.0004518677860885075,6.268408478650468e-08,0.0002503678988738466,0.0008636863326233735,0.9113695625432412
6000,0.0004528049436557083,5.387492989667277e-08,0.00023210973675542518,0.0008345914860086209,0.843158953324514
6500,0.00041816100355205997,4.590692046704632e-08,0.0002142590032345113,0.0007705857021293531,0.8427966634469232
7000,0.00038936650823158115,3.9584374613324274e-08,0.00019895822328650875,0.000716623663416216,0.8404861442011701
7500,0.0003774846457631101,3.454021721996623e-08,0.00018584998579490456,0.0006831806689667385,0.8098237282887193
8000,0.00044386438692232825,3.5358890181040406e-08,0.0001880395973752348,0.0007531620006754777,0.6968290830849501
8500,0.000449135024060451,3.1794485428442684e-08,0.00017831008224001996,0.0007424290095549631,0.653019626131487
9000,0.0005422285024619774,3.610024786486029e-08,0.0001900006522748285,0.0008547517644793745,0.5763681927423433
9500,0.0005207266699860863,3.2425488248655585e-08,0.00018007078677191251,0.0008169167567158717,0.5688014534337172
10000,0.0005006040814376272,2.929362612275478e-08,0.0001711538083793486,0.0007821270439169561,0.5623664946375495
