sample_count,estimate,variance,std_error,ucb,relative_precision
20000,0.000379405262473198,6.558944280415582e-09,8.098730937878836e-05,0.000512617532041939,0.35110812301437544
20000,0.000379405262473198,6.558944280415582e-09,8.098730937878836e-05,0.000512617532041939,0.35110812301437544
20000,0.000379405262473198,6.558944280415582e-09,8.098730937878836e-05,0.000512617532041939,0.35110812301437544
20000,0.000379405262473198,6.558944280415582e-09,8.098730937878836e-05,0.000512617532041939,0.35110812301437544
20000,0.000379405262473198,6.558944280415582e-09,8.098730937878836e-05,0.000512617532041939,0.35110812301437544
20000,0.000379405262473198,6.558944280415582e-09,8.098730937878836e-05,0.000512617532041939,0.35110812301437544
20000,0.000379405262473198,6.558944280415582e-09,8.098730937878836e-05,0.000512617532041939,0.35110812301437544
20000,0.000379405262473198,6.558944280415582e-09,8.098730937878836e-05,0.000512617532041939,0.35110812301437544
40000,0.00035045247377621413,3.0073770146138093e-09,5.4839557024230324e-05,0.00044065551804793146,0.2573902341157895
40000,0.00035045247377621413,3.0073770146138093e-09,5.4839557024230324e-05,0.00044065551804793146,0.2573902341157895
40000,0.00035045247377621413,3.0073770146138093e-09,5.4839557024230324e-05,0.00044065551804793146,0.2573902341157895
40000,0.00035045247377621413,3.0073770146138093e-09,5.4839557024230324e-05,0.00044065551804793146,0.2573902341157895
40000,0.00035045247377621413,3.0073770146138093e-09,5.4839557024230324e-05,0.00044065551804793146,0.2573902341157895
40000,0.00035045247377621413,3.0073770146138093e-09,5.4839557024230324e-05,0.00044065551804793146,0.2573902341157895
40000,0.00035045247377621413,3.0073770146138093e-09,5.4839557024230324e-05,0.00044065551804793146,0.2573902341157895
40000,0.00035045247377621413,3.0073770146138093e-09,5.4839557024230324e-05,0.00044065551804793146,0.2573902341157895
60000,0.0003313516983654093,1.7846480059308736e-09,4.2245094459959175e-05,0.00040083869520878067,0.20970768276172302
60000,0.0003313516983654093,1.7846480059308736e-09,4.2245094459959175e-05,0.00040083869520878067,0.20970768276172302
60000,0.0003313516983654093,1.7846480059308736e-09,4.2245094459959175e-05,0.00040083869520878067,0.20970768276172302
60000,0.0003313516983654093,1.7846480059308736e-09,4.2245094459959175e-05,0.00040083869520878067,0.20970768276172302
60000,0.0003313516983654093,1.7846480059308736e-09,4.2245094459959175e-05,0.00040083869520878067,0.20970768276172302
60000,0.0003313516983654093,1.7846480059308736e-09,4.2245094459959175e-05,0.00040083869520878067,0.20970768276172302
60000,0.0003313516983654093,1.7846480059308736e-09,4.2245094459959175e-05,0.00040083869520878067,0.20970768276172302
60000,0.0003313516983654093,1.7846480059308736e-09,4.2245094459959175e-05,0.00040083869520878067,0.20970768276172302
80000,0.00033828772990078136,1.5018186314931017e-09,3.8753304781568005e-05,0.0004020312438270993,0.1884298728334419
80000,0.00033828772990078136,1.5018186314931017e-09,3.8753304781568005e-05,0.0004020312438270993,0.1884298728334419
80000,0.00033828772990078136,1.5018186314931017e-09,3.8753304781568005e-05,0.0004020312438270993,0.1884298728334419
80000,0.00033828772990078136,1.5018186314931017e-09,3.8753304781568005e-05,0.0004020312438270993,0.1884298728334419
80000,0.00033828772990078136,1.5018186314931017e-09,3.8753304781568005e-05,0.0004020312438270993,0.1884298728334419
80000,0.00033828772990078136,1.5018186314931017e-09,3.8753304781568005e-05,0.0004020312438270993,0.1884298728334419
80000,0.00033828772990078136,1.5018186314931017e-09,3.8753304781568005e-05,0.0004020312438270993,0.1884298728334419
80000,0.00033828772990078136,1.5018186314931017e-09,3.8753304781568005e-05,0.0004020312438270993,0.1884298728334419
100000,0.00035121736634552534,1.311412447573714e-09,3.6213429105425983e-05,0.00041078315655393525,0.16959807776079472
100000,0.00035121736634552534,1.311412447573714e-09,3.6213429105425983e-05,0.00041078315655393525,0.16959807776079472
100000,0.00035121736634552534,1.311412447573714e-09,3.6213429105425983e-05,0.00041078315655393525,0.16959807776079472
100000,0.00035121736634552534,1.311412447573714e-09,3.6213429105425983e-05,0.00041078315655393525,0.16959807776079472
100000,0.00035121736634552534,1.311412447573714e-09,3.6213429105425983e-05,0.00041078315655393525,0.16959807776079472
100000,0.00035121736634552534,1.311412447573714e-09,3.6213429105425983e-05,0.00041078315655393525,0.16959807776079472
100000,0.00035121736634552534,1.311412447573714e-09,3.6213429105425983e-05,0.00041078315655393525,0.16959807776079472
100000,0.00035121736634552534,1.311412447573714e-09,3.6213429105425983e-05,0.00041078315655393525,0.16959807776079472
120000,0.0003585942980282026,1.0841717896796285e-09,3.2926764032920524e-05,0.00041275400527152723,0.15103337543606193
120000,0.0003585942980282026,1.0841717896796285e-09,3.2926764032920524e-05,0.00041275400527152723,0.15103337543606193
120000,0.0003585942980282026,1.0841717896796285e-09,3.2926764032920524e-05,0.00041275400527152723,0.15103337543606193
120000,0.0003585942980282026,1.0841717896796285e-09,3.2926764032920524e-05,0.00041275400527152723,0.15103337543606193
120000,0.0003585942980282026,1.0841717896796285e-09,3.2926764032920524e-05,0.00041275400527152723,0.15103337543606193
120000,0.0003585942980282026,1.0841717896796285e-09,3.2926764032920524e-05,0.00041275400527152723,0.15103337543606193
120000,0.0003585942980282026,1.0841717896796285e-09,3.2926764032920524e-05,0.00041275400527152723,0.15103337543606193
120000,0.0003585942980282026,1.0841717896796285e-09,3.2926764032920524e-05,0.00041275400527152723,0.15103337543606193
140000,0.00035700403256600806,9.311438951863498e-10,3.051465050080616e-05,0.00040719616611741564,0.1405926235360586
140000,0.00035700403256600806,9.311438951863498e-10,3.051465050080616e-05,0.00040719616611741564,0.1405926235360586
140000,0.00035700403256600806,9.311438951863498e-10,3.051465050080616e-05,0.00040719616611741564,0.1405926235360586
140000,0.00035700403256600806,9.311438951863498e-10,3.051465050080616e-05,0.00040719616611741564,0.1405926235360586
140000,0.00035700403256600806,9.311438951863498e-10,3.051465050080616e-05,0.00040719616611741564,0.1405926235360586
