sample_count,estimate,variance,std_error,ucb,relative_precision
10000,3.8255845047997336e-05,1.3724541344392446e-09,3.704664808642267e-05,9.91921585193445e-05,1.5928628264489775
10000,3.8255845047997336e-05,1.3724541344392446e-09,3.704664808642267e-05,9.91921585193445e-05,1.5928628264489775
10000,3.8255845047997336e-05,1.3724541344392446e-09,3.704664808642267e-05,9.91921585193445e-05,1.5928628264489775
10000,3.8255845047997336e-05,1.3724541344392446e-09,3.704664808642267e-05,9.91921585193445e-05,1.5928628264489775
20000,3.0073789169610077e-05,4.553584197392222e-10,2.1339128842087773e-05,6.517353264150292e-05,1.1671207533556014
20000,3.0073789169610077e-05,4.553584197392222e-10,2.1339128842087773e-05,6.517353264150292e-05,1.1671207533556014
20000,3.0073789169610077e-05,4.553584197392222e-10,2.1339128842087773e-05,6.517353264150292e-05,1.1671207533556014
20000,3.0073789169610077e-05,4.553584197392222e-10,2.1339128842087773e-05,6.517353264150292e-05,1.1671207533556014
30000,2.0508269861593295e-05,2.0242191556588373e-10,1.422750559887023e-05,4.391043404836737e-05,1.141108652495367
30000,2.0508269861593295e-05,2.0242191556588373e-10,1.422750559887023e-05,4.391043404836737e-05,1.141108652495367
30000,2.0508269861593295e-05,2.0242191556588373e-10,1.422750559887023e-05,4.391043404836737e-05,1.141108652495367
30000,2.0508269861593295e-05,2.0242191556588373e-10,1.422750559887023e-05,4.391043404836737e-05,1.141108652495367
40000,1.6406975848465336e-05,1.1431766843601783e-10,1.0691944090576691e-05,3.399365886501277e-05,1.0719027795846021
40000,1.6406975848465336e-05,1.1431766843601783e-10,1.0691944090576691e-05,3.399365886501277e-05,1.0719027795846021
40000,1.6406975848465336e-05,1.1431766843601783e-10,1.0691944090576691e-05,3.399365886501277e-05,1.0719027795846021
40000,1.6406975848465336e-05,1.1431766843601783e-10,1.0691944090576691e-05,3.399365886501277e-05,1.0719027795846021
50000,1.4276828890303405e-05,7.369420412912229e-11,8.584532842800608e-06,2.8397128872468018e-05,0.9890361571647676
50000,1.4276828890303405e-05,7.369420412912229e-11,8.584532842800608e-06,2.8397128872468018e-05,0.9890361571647676
50000,1.4276828890303405e-05,7.369420412912229e-11,8.584532842800608e-06,2.8397128872468018e-05,0.9890361571647676
50000,1.4276828890303405e-05,7.369420412912229e-11,8.584532842800608e-06,2.8397128872468018e-05,0.9890361571647676
60000,1.3818867543362398e-05,5.302524241324346e-11,7.281843338965997e-06,2.5796433970353036e-05,0.8667545578106225
60000,1.3818867543362398e-05,5.302524241324346e-11,7.281843338965997e-06,2.5796433970353036e-05,0.8667545578106225
60000,1.3818867543362398e-05,5.302524241324346e-11,7.281843338965997e-06,2.5796433970353036e-05,0.8667545578106225
60000,1.3818867543362398e-05,5.302524241324346e-11,7.281843338965997e-06,2.5796433970353036e-05,0.8667545578106225
70000,1.238656045470285e-05,3.909880668513675e-11,6.252903860218606e-06,2.2671672048162285e-05,0.8303444391259117
70000,1.238656045470285e-05,3.909880668513675e-11,6.252903860218606e-06,2.2671672048162285e-05,0.8303444391259117
70000,1.238656045470285e-05,3.909880668513675e-11,6.252903860218606e-06,2.2671672048162285e-05,0.8303444391259117
70000,1.238656045470285e-05,3.909880668513675e-11,6.252903860218606e-06,2.2671672048162285e-05,0.8303444391259117
80000,1.2182766817119467e-05,3.063788007887166e-11,5.535149508267293e-06,2.1287277561511584e-05,0.7473270137287923
80000,1.2182766817119467e-05,3.063788007887166e-11,5.535149508267293e-06,2.1287277561511584e-05,0.7473270137287923
80000,1.2182766817119467e-05,3.063788007887166e-11,5.535149508267293e-06,2.1287277561511584e-05,0.7473270137287923
80000,1.2182766817119467e-05,3.063788007887166e-11,5.535149508267293e-06,2.1287277561511584e-05,0.7473270137287923
90000,1.2318524134424725e-05,2.5000925529971515e-11,5.000092552140562e-06,2.054294450390617e-05,0.6676465686743995
90000,1.2318524134424725e-05,2.5000925529971515e-11,5.000092552140562e-06,2.054294450390617e-05,0.6676465686743995
90000,1.2318524134424725e-05,2.5000925529971515e-11,5.000092552140562e-06,2.054294450390617e-05,0.6676465686743995
90000,1.2318524134424725e-05,2.5000925529971515e-11,5.000092552140562e-06,2.054294450390617e-05,0.6676465686743995
100000,1.1598259199303036e-05,2.0302081629416795e-11,4.505783131645019e-06,1.9009612925646107e-05,0.6390056989576881
100000,1.1598259199303036e-05,2.0302081629416795e-11,4.505783131645019e-06,1.9009612925646107e-05,0.6390056989576881
100000,1.1598259199303036e-05,2.0302081629416795e-11,4.505783131645019e-06,1.9009612925646107e-05,0.6390056989576881
100000,1.1598259199303036e-05,2.0302081629416795e-11,4.505783131645019e-06,1.9009612925646107e-05,0.6390056989576881
110000,1.0650403372433879e-05,1.6781923748705982e-11,4.09657463604729e-06,1.7388669020613672e-05,0.6326770369674677
110000,1.0650403372433879e-05,1.6781923748705982e-11,4.09657463604729e-06,1.7388669020613672e-05,0.6326770369674677
110000,1.0650403372433879e-05,1.6781923748705982e-11,4.09657463604729e-06,1.7388669020613672e-05,0.6326770369674677
110000,1.0650403372433879e-05,1.6781923748705982e-11,4.09657463604729e-06,1.7388669020613672e-05,0.6326770369674677
120000,1.0224518537529186e-05,1.4183882958303453e-11,3.7661496197447405e-06,1.641928339920823e-05,0.605873502888288
120000,1.0224518537529186e-05,1.4183882958303453e-11,3.7661496197447405e-06,1.641928339920823e-05,0.605873502888288
120000,1.0224518537529186e-05,1.4183882958303453e-11,3.7661496197447405e-06,1.641928339920823e-05,0.605873502888288
120000,1.0224518537529186e-05,1.4183882958303453e-11,3.7661496197447405e-06,1.641928339920823e-05,0.605873502888288
130000,2.99802863082011e-05,4.215450563676308e-10,2.0531562443409677e-05,6.375170126022414e-05,1.1264540506667835
130000,2.99802863082011e-05,4.215450563676308e-10,2.0531562443409677e-05,6.375170126022414e-05,1.1264540506667835
130000,2.99802863082011e-05,4.215450563676308e-10,2.0531562443409677e-05,6.375170126022414e-05,1.1264540506667835
130000,2.99802863082011e-05,4.215450563676308e-10,2.0531562443409677e-05,6.375170126022414e-05,1.1264540506667835
140000,5.484422498926902e-05,7.132953531981193e-10,2.670758980511194e-05,9.877430094733956e-05,0.8009972967375512
140000,5.484422498926902e-05,7.132953531981193e-10,2.670758980511194e-05,9.877430094733956e-05,0.8009972967375512
140000,5.484422498926902e-05,7.132953531981193e-10,2.670758980511194e-05,9.877430094733956e-05,0.8009972967375512
140000,5.484422498926902e-05,7.132953531981193e-10,2.670758980511194e-05,9.877430094733956e-05,0.8009972967375512
150000,5.1790796273688564e-05,6.216865591167073e-10,2.4933643117617354e-05,9.280298958881509e-05,0.7918818837694154
150000,5.1790796273688564e-05,6.216865591167073e-10,2.4933643117617354e-05,9.280298958881509e-05,0.7918818837694154
150000,5.1790796273688564e-05,6.216865591167073e-10,2.4933643117617354e-05,9.280298958881509e-05,0.7918818837694154
150000,5.1790796273688564e-05,6.216865591167073e-10,2.4933643117617354e-05,9.280298958881509e-05,0.7918818837694154
160000,5.060657510955081e-05,5.501174556609366e-10,2.3454582828541986e-05,8.918593074371182e-05,0.762338797886365
160000,5.060657510955081e-05,5.501174556609366e-10,2.3454582828541986e-05,8.918593074371182e-05,0.762338797886365
160000,5.060657510955081e-05,5.501174556609366e-10,2.3454582828541986e-05,8.918593074371182e-05,0.762338797886365
160000,5.060657510955081e-05,5.501174556609366e-10,2.3454582828541986e-05,8.918593074371182e-05,0.762338797886365
170000,4.767827797292446e-05,4.873026905337879e-10,2.2074933534074068e-05,8.398831246115887e-05,0.761563463111108
170000,4.767827797292446e-05,4.873026905337879e-10,2.2074933534074068e-05,8.398831246115887e-05,0.761563463111108
170000,4.767827797292446e-05,4.873026905337879e-10,2.2074933534074068e-05,8.398831246115887e-05,0.761563463111108
170000,4.767827797292446e-05,4.873026905337879e-10,2.2074933534074068e-05,8.398831246115887e-05,0.761563463111108
180000,4.513496990735504e-05,4.346662321401232e-10,2.0848650607176553e-05,7.94279484756134e-05,0.7597873364854089
180000,4.513496990735504e-05,4.346662321401232e-10,2.0848650607176553e-05,7.94279484756134e-05,0.7597873364854089
180000,4.513496990735504e-05,4.346662321401232e-10,2.0848650607176553e-05,7.94279484756134e-05,0.7597873364854089
180000,4.513496990735504e-05,4.346662321401232e-10,2.0848650607176553e-05,7.94279484756134e-05,0.7597873364854089
190000,4.5019662315482024e-05,3.947052541394077e-10,1.9867190393697032e-05,7.769828249189003e-05,0.7258743956675572
190000,4.5019662315482024e-05,3.947052541394077e-10,1.9867190393697032e-05,7.769828249189003e-05,0.7258743956675572
190000,4.5019662315482024e-05,3.947052541394077e-10,1.9867190393697032e-05,7.769828249189003e-05,0.7258743956675572
190000,4.5019662315482024e-05,3.947052541394077e-10,1.9867190393697032e-05,7.769828249189003e-05,0.7258743956675572
200000,4.298857468433355e-05,3.56260796961053e-10,1.887487210449525e-05,7.403497652365773e-05,0.7222012375915898
200000,4.298857468433355e-05,3.56260796961053e-10,1.887487210449525e-05,7.403497652365773e-05,0.7222012375915898
200000,4.298857468433355e-05,3.56260796961053e-10,1.887487210449525e-05,7.403497652365773e-05,0.7222012375915898
200000,4.298857468433355e-05,3.56260796961053e-10,1.887487210449525e-05,7.403497652365773e-05,0.7222012375915898
210000,4.094941833331683e-05,3.231393780275229e-10,1.7976077937846256e-05,7.051743532774559e-05,0.7220619534508
210000,4.094941833331683e-05,3.231393780275229e-10,1.7976077937846256e-05,7.051743532774559e-05,0.7220619534508
210000,4.094941833331683e-05,3.231393780275229e-10,1.7976077937846256e-05,7.051743532774559e-05,0.7220619534508
210000,4.094941833331683e-05,3.231393780275229e-10,1.7976077937846256e-05,7.051743532774559e-05,0.7220619534508
220000,4.0541089142588646e-05,2.963868340672717e-10,1.721588900020187e-05,6.885870660576465e-05,0.6984917786391728
220000,4.0541089142588646e-05,2.963868340672717e-10,1.721588900020187e-05,6.885870660576465e-05,0.6984917786391728
220000,4.0541089142588646e-05,2.963868340672717e-10,1.721588900020187e-05,6.885870660576465e-05,0.6984917786391728
220000,4.0541089142588646e-05,2.963868340672717e-10,1.721588900020187e-05,6.885870660576465e-05,0.6984917786391728
230000,4.076073102849543e-05,2.7396673783114633e-10,1.6551940606199213e-05,6.798625056768755e-05,0.6679350161840578
230000,4.076073102849543e-05,2.7396673783114633e-10,1.6551940606199213e-05,6.798625056768755e-05,0.6679350161840578
230000,4.076073102849543e-05,2.7396673783114633e-10,1.6551940606199213e-05,6.798625056768755e-05,0.6679350161840578
230000,4.076073102849543e-05,2.7396673783114633e-10,1.6551940606199213e-05,6.798625056768755e-05,0.6679350161840578
240000,3.911540348279666e-05,2.5161261781833917e-10,1.5862301781845507e-05,6.520656810046405e-05,0.6670304354432272
240000,3.911540348279666e-05,2.5161261781833917e-10,1.5862301781845507e-05,6.520656810046405e-05,0.6670304354432272
240000,3.911540348279666e-05,2.5161261781833917e-10,1.5862301781845507e-05,6.520656810046405e-05,0.6670304354432272
240000,3.911540348279666e-05,2.5161261781833917e-10,1.5862301781845507e-05,6.520656810046405e-05,0.6670304354432272
250000,3.773924775605753e-05,2.3190902039985544e-10,1.522855936718426e-05,6.278799886441637e-05,0.663732124982228
250000,3.773924775605753e-05,2.3190902039985544e-10,1.522855936718426e-05,6.278799886441637e-05,0.663732124982228
250000,3.773924775605753e-05,2.3190902039985544e-10,1.522855936718426e-05,6.278799886441637e-05,0.663732124982228
250000,3.773924775605753e-05,2.3190902039985544e-10,1.522855936718426e-05,6.278799886441637e-05,0.663732124982228
260000,3.831288120519055e-05,2.1647386831833246e-10,1.4713050952074231e-05,6.251369642723165e-05,0.631662627836051
260000,3.831288120519055e-05,2.1647386831833246e-10,1.4713050952074231e-05,6.251369642723165e-05,0.631662627836051
260000,3.831288120519055e-05,2.1647386831833246e-10,1.4713050952074231e-05,6.251369642723165e-05,0.631662627836051
260000,3.831288120519055e-05,2.1647386831833246e-10,1.4713050952074231e-05,6.251369642723165e-05,0.631662627836051
270000,3.7718360314643356e-05,2.0135024625611405e-10,1.4189793735502784e-05,6.10584940061784e-05,0.6188003268655801
270000,3.7718360314643356e-05,2.0135024625611405e-10,1.4189793735502784e-05,6.10584940061784e-05,0.6188003268655801
270000,3.7718360314643356e-05,2.0135024625611405e-10,1.4189793735502784e-05,6.10584940061784e-05,0.6188003268655801
270000,3.7718360314643356e-05,2.0135024625611405e-10,1.4189793735502784e-05,6.10584940061784e-05,0.6188003268655801
280000,3.7732437106010184e-05,1.8805073803193867e-10,1.3713159301632089e-05,6.0288576920263044e-05,0.5977917554299725
280000,3.7732437106010184e-05,1.8805073803193867e-10,1.3713159301632089e-05,6.0288576920263044e-05,0.5977917554299725
280000,3.7732437106010184e-05,1.8805073803193867e-10,1.3713159301632089e-05,6.0288576920263044e-05,0.5977917554299725
280000,3.7732437106010184e-05,1.8805073803193867e-10,1.3713159301632089e-05,6.0288576920263044e-05,0.5977917554299725
290000,4.0570779220519685e-05,1.9067146245819778e-10,1.3808383774294433e-05,6.328354935400575e-05,0.5598307592277771
290000,4.0570779220519685e-05,1.9067146245819778e-10,1.3808383774294433e-05,6.328354935400575e-05,0.5598307592277771
290000,4.0570779220519685e-05,1.9067146245819778e-10,1.3808383774294433e-05,6.328354935400575e-05,0.5598307592277771
290000,4.0570779220519685e-05,1.9067146245819778e-10,1.3808383774294433e-05,6.328354935400575e-05,0.5598307592277771
300000,3.925206328402933e-05,1.781724097336348e-10,1.3348123828225253e-05,6.120777317588302e-05,0.5593517398813248
300000,3.925206328402933e-05,1.781724097336348e-10,1.3348123828225253e-05,6.120777317588302e-05,0.5593517398813248
300000,3.925206328402933e-05,1.781724097336348e-10,1.3348123828225253e-05,6.120777317588302e-05,0.5593517398813248
300000,3.925206328402933e-05,1.781724097336348e-10,1.3348123828225253e-05,6.120777317588302e-05,0.5593517398813248
310000,3.819940786453904e-05,1.6688855596494843e-10,1.2918535364543012e-05,5.9448507613808474e-05,0.5562677784069846
310000,3.819940786453904e-05,1.6688855596494843e-10,1.2918535364543012e-05,5.9448507613808474e-05,0.5562677784069846
310000,3.819940786453904e-05,1.6688855596494843e-10,1.2918535364543012e-05,5.9448507613808474e-05,0.5562677784069846
310000,3.819940786453904e-05,1.6688855596494843e-10,1.2918535364543012e-05,5.9448507613808474e-05,0.5562677784069846
320000,3.7412142966572744e-05,1.567102415073162e-10,1.251839612359811e-05,5.8003072234088347e-05,0.5503809093724817
320000,3.7412142966572744e-05,1.567102415073162e-10,1.251839612359811e-05,5.8003072234088347e-05,0.5503809093724817
320000,3.7412142966572744e-05,1.567102415073162e-10,1.251839612359811e-05,5.8003072234088347e-05,0.5503809093724817
320000,3.7412142966572744e-05,1.567102415073162e-10,1.251839612359811e-05,5.8003072234088347e-05,0.5503809093724817
330000,3.641079251546126e-05,1.473653409008774e-10,1.2139412708235823e-05,5.6378349537663754e-05,0.5483966605155212
330000,3.641079251546126e-05,1.473653409008774e-10,1.2139412708235823e-05,5.6378349537663754e-05,0.5483966605155212
330000,3.641079251546126e-05,1.473653409008774e-10,1.2139412708235823e-05,5.6378349537663754e-05,0.5483966605155212
330000,3.641079251546126e-05,1.473653409008774e-10,1.2139412708235823e-05,5.6378349537663754e-05,0.5483966605155212
340000,3.5414245822293114e-05,1.38825486528668e-10,1.1782422778387643e-05,5.479460666359967e-05,0.5472475946136541
340000,3.5414245822293114e-05,1.38825486528668e-10,1.1782422778387643e-05,5.479460666359967e-05,0.5472475946136541
340000,3.5414245822293114e-05,1.38825486528668e-10,1.1782422778387643e-05,5.479460666359967e-05,0.5472475946136541
340000,3.5414245822293114e-05,1.38825486528668e-10,1.1782422778387643e-05,5.479460666359967e-05,0.5472475946136541
350000,3.442854997819297e-05,1.3100607611755155e-10,1.1445788575609439e-05,5.325519683010388e-05,0.54683240693656
350000,3.442854997819297e-05,1.3100607611755155e-10,1.1445788575609439e-05,5.325519683010388e-05,0.54683240693656
350000,3.442854997819297e-05,1.3100607611755155e-10,1.1445788575609439e-05,5.325519683010388e-05,0.54683240693656
350000,3.442854997819297e-05,1.3100607611755155e-10,1.1445788575609439e-05,5.325519683010388e-05,0.54683240693656
360000,6.93263526937412e-05,1.408794958010181e-09,3.753391743490387e-05,0.00013106415292023994,0.8905387032148373
360000,6.93263526937412e-05,1.408794958010181e-09,3.753391743490387e-05,0.00013106415292023994,0.8905387032148373
360000,6.93263526937412e-05,1.408794958010181e-09,3.753391743490387e-05,0.00013106415292023994,0.8905387032148373
360000,6.93263526937412e-05,1.408794958010181e-09,3.753391743490387e-05,0.00013106415292023994,0.8905387032148373
370000,6.74701242869939e-05,1.3336733946262431e-09,3.651949335117128e-05,0.00012753934538009814,0.8903084398895008
370000,6.74701242869939e-05,1.3336733946262431e-09,3.651949335117128e-05,0.00012753934538009814,0.8903084398895008
370000,6.74701242869939e-05,1.3336733946262431e-09,3.651949335117128e-05,0.00012753934538009814,0.8903084398895008
370000,6.74701242869939e-05,1.3336733946262431e-09,3.651949335117128e-05,0.00012753934538009814,0.8903084398895008
380000,6.574771298825092e-05,1.2644044162360887e-09,3.555846476208005e-05,0.0001242361827209844,0.8895894180104081
380000,6.574771298825092e-05,1.2644044162360887e-09,3.555846476208005e-05,0.0001242361827209844,0.8895894180104081
380000,6.574771298825092e-05,1.2644044162360887e-09,3.555846476208005e-05,0.0001242361827209844,0.8895894180104081
380000,6.574771298825092e-05,1.2644044162360887e-09,3.555846476208005e-05,0.0001242361827209844,0.8895894180104081
390000,6.43976167112023e-05,1.2004503314361114e-09,3.464751551606711e-05,0.0001213877082726627,0.8849720606437703
390000,6.43976167112023e-05,1.2004503314361114e-09,3.464751551606711e-05,0.0001213877082726627,0.8849720606437703
390000,6.43976167112023e-05,1.2004503314361114e-09,3.464751551606711e-05,0.0001213877082726627,0.8849720606437703
390000,6.43976167112023e-05,1.2004503314361114e-09,3.464751551606711e-05,0.0001213877082726627,0.8849720606437703
400000,6.41814967607489e-05,1.1423926068575252e-09,3.379929891073963e-05,0.00011977639616249591,0.8662138187426454
400000,6.41814967607489e-05,1.1423926068575252e-09,3.379929891073963e-05,0.00011977639616249591,0.8662138187426454
400000,6.41814967607489e-05,1.1423926068575252e-09,3.379929891073963e-05,0.00011977639616249591,0.8662138187426454
400000,6.41814967607489e-05,1.1423926068575252e-09,3.379929891073963e-05,0.00011977639616249591,0.8662138187426454
410000,6.276197248064254e-05,1.0873642831662953e-09,3.2975207098156267e-05,0.00011700136147552081,0.864207845150296
410000,6.276197248064254e-05,1.0873642831662953e-09,3.2975207098156267e-05,0.00011700136147552081,0.864207845150296
410000,6.276197248064254e-05,1.0873642831662953e-09,3.2975207098156267e-05,0.00011700136147552081,0.864207845150296
410000,6.276197248064254e-05,1.0873642831662953e-09,3.2975207098156267e-05,0.00011700136147552081,0.864207845150296
420000,6.129810992442377e-05,1.0362018763574846e-09,3.21900897227312e-05,0.00011424609575675149,0.8637784410907424
420000,6.129810992442377e-05,1.0362018763574846e-09,3.21900897227312e-05,0.00011424609575675149,0.8637784410907424
420000,6.129810992442377e-05,1.0362018763574846e-09,3.21900897227312e-05,0.00011424609575675149,0.8637784410907424
420000,6.129810992442377e-05,1.0362018763574846e-09,3.21900897227312e-05,0.00011424609575675149,0.8637784410907424
430000,5.9946567268496274e-05,9.885717768781586e-10,3.14415612983541e-05,0.00011166333340711106,0.8627143887485531
430000,5.9946567268496274e-05,9.885717768781586e-10,3.14415612983541e-05,0.00011166333340711106,0.8627143887485531
430000,5.9946567268496274e-05,9.885717768781586e-10,3.14415612983541e-05,0.00011166333340711106,0.8627143887485531
430000,5.9946567268496274e-05,9.885717768781586e-10,3.14415612983541e-05,0.00011166333340711106,0.8627143887485531
440000,0.00010677074835182873,3.2651631142384577e-09,5.714160580731397e-05,0.00020076032591382042,0.8802933295201717
440000,0.00010677074835182873,3.2651631142384577e-09,5.714160580731397e-05,0.00020076032591382042,0.8802933295201717
440000,0.00010677074835182873,3.2651631142384577e-09,5.714160580731397e-05,0.00020076032591382042,0.8802933295201717
440000,0.00010677074835182873,3.2651631142384577e-09,5.714160580731397e-05,0.00020076032591382042,0.8802933295201717
450000,0.00010442871541561172,3.1216577538936085e-09,5.587179748221466e-05,0.00019632964414853063,0.880035039856289
450000,0.00010442871541561172,3.1216577538936085e-09,5.587179748221466e-05,0.00019632964414853063,0.880035039856289
450000,0.00010442871541561172,3.1216577538936085e-09,5.587179748221466e-05,0.00019632964414853063,0.880035039856289
450000,0.00010442871541561172,3.1216577538936085e-09,5.587179748221466e-05,0.00019632964414853063,0.880035039856289
460000,0.00010225585825038689,2.9874164303280644e-09,5.465726328977755e-05,0.00019215905601181906,0.8791985055887203
460000,0.00010225585825038689,2.9874164303280644e-09,5.465726328977755e-05,0.00019215905601181906,0.8791985055887203
460000,0.00010225585825038689,2.9874164303280644e-09,5.465726328977755e-05,0.00019215905601181906,0.8791985055887203
460000,0.00010225585825038689,2.9874164303280644e-09,5.465726328977755e-05,0.00019215905601181906,0.8791985055887203
470000,0.00010017225962081537,2.861649799274596e-09,5.3494390353331405e-05,0.00018816270161505037,0.8783913064086554
470000,0.00010017225962081537,2.861649799274596e-09,5.3494390353331405e-05,0.00018816270161505037,0.8783913064086554
470000,0.00010017225962081537,2.861649799274596e-09,5.3494390353331405e-05,0.00018816270161505037,0.8783913064086554
470000,0.00010017225962081537,2.861649799274596e-09,5.3494390353331405e-05,0.00018816270161505037,0.8783913064086554
480000,9.811129008139411e-05,2.7436569018640795e-09,5.237992842553414e-05,0.00018426860533159246,0.8781590291873788
